PlanTable,ItemID,OptionPhase,PackID,Description,OnlineDescription,Qty,UOM,SellEach,CostEach,ExtPrice,ExtCost,MarginDollar,MarginPercent,Category,PriceLevel,CostUOM,BlendCost,AvgCost
plan_1670ABCD_CR,2812DF2,167020070,|30ABCDR3 2ND FLOOR SYSTEM - REG3,blocking,2X8-12' #2&BTR DF,2,MBF,640.45,8.8,20.49,17.6,$90.45 ,14.12%,2503,09,550,,
plan_1670ABCD_CR,1670FT,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|30ABCD 2ND FLOOR SYSTEM,floor trusses,1670 Floor Truss Pricing,1,EA,2235,2235,2235,2235,$0.00 ,0.00%,1,l5,2235,,
plan_1670ABCD_CR,14114TTECRIM16,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|30ABCD 2ND FLOOR SYSTEM,rim/ blocking,"1-1/4X14"" TOLKO LSL RIM 16'",14,EA,77.69,64.48,1087.66,902.72,$13.21 ,17.00%,1,l5,64.48,,
plan_1670ABCD_CR,WBC2LVL14LF,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|30ABCD 2ND FLOOR SYSTEM,floor beam,1-3/4X14 BC LVL 2.1E LF,6,LF,9.45,8.03,56.7,48.18,$1.42 ,15.03%,2042,10,8.03,,
plan_1670ABCD_CR,51215DF18GL,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|30ABCD 2ND FLOOR SYSTEM,garage beam,5-1/2X15 GLAM LF,21,LF,26.09,22.18,547.89,465.78,$3.91 ,14.99%,2006,10,22.18,,
plan_1670ABCD_CR,2420DF,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|30ABCD 2ND FLOOR SYSTEM,stair stiff back,2X4-20' STD&BTR DF,3,MBF,634.83,7.264851333,25.39,21.794554,$89.83 ,14.15%,2503,09,545.0001,,
plan_1670ABCD_CR,2620DF2,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|30ABCD 2ND FLOOR SYSTEM,strongback,2X6-20' #2&BTR DF,8,MBF,556.18,9.499998,88.99,75.999984,$81.18 ,14.60%,2503,09,474.9999,,
plan_1670ABCD_CR,288DF2,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|30ABCD 2ND FLOOR SYSTEM,landing joist,2X8-8' #2&BTR DF,4,MBF,640.45,5.866848933,27.33,23.46739573,$90.45 ,14.12%,2503,09,549.9999,,
plan_1670ABCD_CR,21220DF2,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|30ABCD 2ND FLOOR SYSTEM,stair stringer,2X12-20' #2&BTR DF,3,MBF,636.36,28.8,76.36,86.4,($83.64),-13.14%,2503,09,720,,
plan_1670ABCD_CR,118TGOSBWGOFF,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|30ABCD 2ND FLOOR SYSTEM,landing sheathing,"1-1/8""4X8 T&G OSB EDGGLD SIF",1,MSF,1017.44,29.5039968,32.56,29.5039968,$95.44 ,9.38%,3507,08,921.9999,,
