Richmond_Pack_ID,Shipping_Order,Elevation_Letters_Original,Option_Codes,Phase_Str,Pack_Name,Item_No,Item_Type,Old_Code,Plan_No,New_Phase_Code,New_Elevation_Code,New_Item_Type_Code,New_Full_Code
020.140 OPT BEDROOM 2 WINDOW    ,3,,WDWBR2,20.14,OPT BEDROOM 2 WINDOW    ,1000,Framing,XXXX-20.14-1000,PPPP,020.140,**,1000,PPPP-020.140-**-1000
020.150 OPT BEDROOM 3 WINDOW    ,3,,WDWBR3,20.15,OPT BEDROOM 3 WINDOW    ,1000,Framing,XXXX-20.15-1000,PPPP,020.150,**,1000,PPPP-020.150-**-1000
020.150 OPT BEDROOM 3 WINDOW    ,3,,WDWBR3,20.15,OPT BEDROOM 3 WINDOW    ,1000,Framing,XXXX-20.15-1000,PPPP,020.150,**,1000,PPPP-020.150-**-1000
020.160 OPT BEDROOM 4 WINDOW    ,3,,WDWBR4,20.16,OPT BEDROOM 4 WINDOW    ,1000,Framing,XXXX-20.16-1000,PPPP,020.160,**,1000,PPPP-020.160-**-1000
020.170 OPT BEDROOM 5 WINDOW    ,3,,WDWBR5,20.17,OPT BEDROOM 5 WINDOW    ,1000,Framing,XXXX-20.17-1000,PPPP,020.170,**,1000,PPPP-020.170-**-1000
020.190 OPT STUDY WINDOW     ,3,,WDWSTUDY,20.19,OPT STUDY WINDOW     ,1000,Framing,XXXX-20.19-1000,PPPP,020.190,**,1000,PPPP-020.190-**-1000
020.200 OPT POWDER      ,3,,ABAPWDR,20.2,OPT POWDER      ,1000,Framing,XXXX-20.2-1000,PPPP,020.200,**,1000,PPPP-020.200-**-1000
020.210 OPT DBA DELUXE MASTER BATH 1  ,3,,DBA,20.21,OPT DBA DELUXE MASTER BATH 1  ,1000,Framing,XXXX-20.21-1000,PPPP,020.210,**,1000,PPPP-020.210-**-1000
020.220 OPT DBA2 DELUXE MASTER BATH 2  ,3,,DBA2,20.22,OPT DBA2 DELUXE MASTER BATH 2  ,1000,Framing,XXXX-20.22-1000,PPPP,020.220,**,1000,PPPP-020.220-**-1000
020.230 OPT DBA DELUXE MASTER BATH 3  ,3,,DBA3,20.23,OPT DBA DELUXE MASTER BATH 3  ,1000,Framing,XXXX-20.23-1000,PPPP,020.230,**,1000,PPPP-020.230-**-1000
020.240 OPT BEDROOM 4     ,3,,ABR4,20.24,OPT BEDROOM 4     ,1000,Framing,XXXX-20.24-1000,PPPP,020.240,**,1000,PPPP-020.240-**-1000
020.240 OPT BEDROOM 4     ,3,,ABR4BA,20.24,OPT BEDROOM 4     ,1000,Framing,XXXX-20.24-1000,PPPP,020.240,**,1000,PPPP-020.240-**-1000
020.250 OPT BEDROOM 5 W/ BATHROOM   ,3,,ABR5BA,20.25,OPT BEDROOM 5 W/ BATHROOM   ,1000,Framing,XXXX-20.25-1000,PPPP,020.250,**,1000,PPPP-020.250-**-1000
020.270 OPT STUDY      ,3,,STUDY,20.27,OPT STUDY      ,1000,Framing,XXXX-20.27-1000,PPPP,020.270,**,1000,PPPP-020.270-**-1000
020.280 OPT DINING ROOM     ,3,,,20.28,OPT DINING ROOM     ,1000,Framing,XXXX-20.28-1000,PPPP,020.280,**,1000,PPPP-020.280-**-1000
020.290 OPT BED W/ BATHROOM ILO DEN  ,3,,,20.29,OPT BED W/ BATHROOM ILO DEN  ,1000,Framing,XXXX-20.29-1000,PPPP,020.290,**,1000,PPPP-020.290-**-1000
020.330 OPT FRENCH DOUBLE DOOR    ,3,,FRENCHDB,20.33,OPT FRENCH DOUBLE DOOR    ,1000,Framing,XXXX-20.33-1000,PPPP,020.330,**,1000,PPPP-020.330-**-1000
020.340 OPT POCKET OFFICE     ,3,,,20.34,OPT POCKET OFFICE     ,1000,Framing,XXXX-20.34-1000,PPPP,020.340,**,1000,PPPP-020.340-**-1000
020.410 OPT DINING ROOM COFFERED CEILING   ,3,,COFDIN,20.41,OPT DINING ROOM COFFERED CEILING   ,1000,Framing,XXXX-20.41-1000,PPPP,020.410,**,1000,PPPP-020.410-**-1000
020.420 OPT MBR COFFERED CEILING    ,3,,COFMBR,20.42,OPT MBR COFFERED CEILING    ,1000,Framing,XXXX-20.42-1000,PPPP,020.420,**,1000,PPPP-020.420-**-1000
020.430 OPT ENTRY COFFERED CEILING    ,3,"A, B, C",,20.43,OPT ENTRY COFFERED CEILING    ,1000,Framing,XXXX-20.43-1000,PPPP,020.430,ABC,1000,PPPP-020.430-ABC-1000
020.440 OPT LIVING ROOM COFFERED CEILING   ,3,,,20.44,OPT LIVING ROOM COFFERED CEILING   ,1000,Framing,XXXX-20.44-1000,PPPP,020.440,**,1000,PPPP-020.440-**-1000
020.500 OPT BOOKCASE STUDY     ,3,,BOOK1,20.5,OPT BOOKCASE STUDY     ,1000,Framing,XXXX-20.5-1000,PPPP,020.500,**,1000,PPPP-020.500-**-1000
020.600 EXTENDED GREAT ROOM WALLS    ,3,,XGREAT,20.6,EXTENDED GREAT ROOM WALLS    ,1000,Framing,XXXX-20.6-1000,PPPP,020.600,**,1000,PPPP-020.600-**-1000
020.610 MAIN WALLS SUNROOM     ,3,,SUN,20.61,MAIN WALLS SUNROOM     ,1000,Framing,XXXX-20.61-1000,PPPP,020.610,**,1000,PPPP-020.610-**-1000
020.700 MAIN WALL OPT BDR 3   ,3,,,20.7,MAIN WALL OPT BDR 3   ,1000,Framing,XXXX-20.7-1000,PPPP,020.700,**,1000,PPPP-020.700-**-1000
020.810 OPT CLUBHOUSE RETREAT     ,3,,RETREAT,20.81,OPT CLUBHOUSE RETREAT     ,1000,Framing,XXXX-20.81-1000,PPPP,020.810,**,1000,PPPP-020.810-**-1000
020.820 OPT DEN WALLS     ,3,,,20.82,OPT DEN WALLS     ,1000,Framing,XXXX-20.82-1000,PPPP,020.820,**,1000,PPPP-020.820-**-1000
020.820 OPT DEN WALLS     ,3,"B, C, D",,20.82,OPT DEN WALLS     ,1000,Framing,XXXX-20.82-1000,PPPP,020.820,BCD,1000,PPPP-020.820-BCD-1000
020.820 OPT DEN WALLS     ,3,,,20.82,OPT DEN WALLS     ,1000,Framing,XXXX-20.82-1000,PPPP,020.820,**,1000,PPPP-020.820-**-1000
020.830 OPT DEN W/FULL BATH WALLS   ,3,"B, C, D",,20.83,OPT DEN W/FULL BATH WALLS   ,1000,Framing,XXXX-20.83-1000,PPPP,020.830,BCD,1000,PPPP-020.830-BCD-1000
