Sku,Qty,Description,Pack,Manual Price,System Price,System Cost,Type,Qty UOM,Price UOM,EXT Price,Manual Cost,Margin (Avg %),Last Edited By,Day/Time,Price Source,Price Territory,Begin/End Date,Category,Target Margin,Minimum Margin,Price Last Update,Vendor Reprice Date,Notes,Tally Measurements,Extended Description,Estimator Notes
OSBSTRIPS,0,7/16" X 3 1/2" X 8' OSB STRIPS,|20rf MAIN WALLS READYFRAME,1.39000,1.69000,,ST,EA,EA,0.0000000000000,,23.7,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,3511,,,11/19/2025,,,,,
OSBSTRIPS,4,7/16" X 3 1/2" X 8' OSB STRIPS,|20rf MAIN WALLS READYFRAME-A,1.39000,1.69000,,ST,EA,EA,5.5600000000000,,23.7,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,3511,,,11/19/2025,,,,,filler
7165128OSB,0,7/16"5-1/2"X8 OSB NON-RTD,|20rf MAIN WALLS READYFRAME,411.00000,460.00000,,ST,MSF,MSF,0.0000000000000,,20.2,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,3506,,,11/19/2025,,,,,
7165128OSB,10,7/16"5-1/2"X8 OSB NON-RTD,|20rf MAIN WALLS READYFRAME-A,411.00000,460.00000,,ST,MSF,MSF,15.0713700000000,,20.2,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,3506,,,11/19/2025,,,,,filler
24DF,0,2X4-RL STD&BTR DF,|20rf MAIN WALLS READYFRAME,634.83000,744.00000,,ST,MBF,MBF,0.0000000000000,,15.7,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2503,,,11/19/2025,,,,,
24DF,236,2X4-RL STD&BTR DF,|20rf MAIN WALLS READYFRAME-A,634.83000,744.00000,,ST,MBF,MBF,99.9298599600000,,15.7,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2503,,,11/19/2025,,,,,plate
26DF2,0,2X6-RL #2&BTR DF,|20rf MAIN WALLS READYFRAME,556.18000,677.00000,,ST,MBF,MBF,0.0000000000000,,12.4,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/10/2025,2503,,,11/19/2025,,,,,
26DF2,883,2X6-RL #2&BTR DF,|20rf MAIN WALLS READYFRAME-A,556.18000,677.00000,,ST,MBF,MBF,491.1069400000000,,12.4,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/10/2025,2503,,,11/19/2025,,,,,plate
2620DF2,0,2X6-20' #2&BTR DF,|20rf MAIN WALLS READYFRAME,556.18000,677.00000,,ST,MBF,MBF,0.0000000000000,,12.4,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2503,,,11/19/2025,,,,,
2620DF2,32,2X6-20' #2&BTR DF,|20rf MAIN WALLS READYFRAME-A,556.18000,677.00000,,ST,MBF,MBF,355.9552000000000,,12.4,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2503,,,11/19/2025,,,,,balloon studs
4108GDF2,0,4X10-8' #2 DF GRN,|20rf MAIN WALLS READYFRAME,815.48000,939.00000,,ST,MBF,MBF,0.0000000000000,,21.8,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2201,,,11/19/2025,,,,,
4108GDF2,1,4X10-8' #2 DF GRN,|20rf MAIN WALLS READYFRAME-A,815.48000,939.00000,,ST,MBF,MBF,21.7464051600000,,21.8,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2201,,,11/19/2025,,,,,header beam
4128GDF2,0,4X12-8' #2&BTR DF GRN,|20rf MAIN WALLS READYFRAME,744.05000,939.00000,,ST,MBF,MBF,0.0000000000000,,14.3,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2201,,,11/19/2025,,,,,
4128GDF2,1,4X12-8' #2&BTR DF GRN,|20rf MAIN WALLS READYFRAME-A,744.05000,939.00000,,ST,MBF,MBF,23.8096000000000,,14.3,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2201,,,11/19/2025,,,,,header beam
4812GDF2,0,4X8-12' #2 DF GRN,|20rf MAIN WALLS READYFRAME,815.48000,939.00000,,ST,MBF,MBF,0.0000000000000,,21.8,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2201,,,11/19/2025,,,,,
4812GDF2,2,4X8-12' #2 DF GRN,|20rf MAIN WALLS READYFRAME-A,815.48000,939.00000,,ST,MBF,MBF,52.1907200000000,,21.8,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2201,,,11/19/2025,,,,,header beam
6610GDF2,0,6X6-10' #2&BTR DF GRN,|20rf MAIN WALLS READYFRAME,1036.00000,1118.00000,,ST,MBF,MBF,0.0000000000000,,29.5,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2201,,,11/19/2025,,,,,
6610GDF2,2,6X6-10' #2&BTR DF GRN,|20rf MAIN WALLS READYFRAME-A,1036.00000,1118.00000,,ST,MBF,MBF,62.1600000000000,,29.5,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2201,,,11/19/2025,,,,,post
1670FT,0,1670 Floor Truss Pricing,|30 2ND FLOOR SYSTEM,2235.00000,,,N,EA,EA,0.00000,,,Corey Boser,"11/19/2025; 12:18 AM",Manual,,,,,,,,,,,
1670FT,1,1670 Floor Truss Pricing,|30 2ND FLOOR SYSTEM-A,2235.00000,,,N,EA,EA,2235.00000,,,Corey Boser,"11/19/2025; 12:18 AM",Manual,,,,,,11/19/2025,,,,,floor trusses
